t,fx,fy,fz,tx,ty,tz,tau_raw,tau_screw,tau_perp_mag,u,pA,pB
1786016702.1711957,2.7443904876708984,-0.843489944934845,-119.67915344238281,-1.5521398782730103,2.5043599605560303,2.6637749671936035,-1.5521398782730103,-1.678663370013237,3.6561613596617266,-0.5588713489950468,0.0,22.354853959801872
1786016702.2215085,2.662584066390991,-0.5116877555847168,-120.57854461669922,-1.872265100479126,2.521585464477539,2.668989896774292,-1.872265100479126,-1.9490182638168334,3.67177073409379,-0.6975148842789424,0.0,27.900595371157696
1786016702.271314,2.9338297843933105,0.2976822555065155,-121.22479248046875,-2.054670810699463,2.5031933784484863,2.627394199371338,-2.054670810699463,-2.0100184723734857,3.628936120793324,-0.728797042513123,0.0,29.15188170052492
1786016702.321557,1.5132055282592773,0.6875786781311035,-120.13426208496094,-2.1436362266540527,2.289489507675171,2.4993700981140137,-2.1436362266540527,-2.0404994249343873,3.3894856679297454,-0.7444283002366623,0.0,29.77713200946649
1786016702.3713439,1.107278823852539,1.2455265522003174,-121.15039825439453,-2.140336513519287,2.1844100952148438,2.328826427459717,-2.140336513519287,-1.9535075306892395,3.192973534702615,-0.6998170724186379,0.0,27.992682896745514
1786016702.4212835,0.5035256743431091,1.3433078527450562,-121.2019271850586,-2.1500742435455322,2.1332759857177734,2.16471004486084,-2.1500742435455322,-1.948578065633774,3.0392163479360197,-0.6972891416209631,0.0,27.891565664838524
1786016702.471269,0.6047286987304688,1.9000096321105957,-121.89384460449219,-2.1618175506591797,2.105412006378174,1.9529446363449097,-2.1618175506591797,-1.8768161058425903,2.8717159450805227,-0.6604881365998434,0.0,26.419525463993736
1786016702.5212834,-0.13668140769004822,2.17435884475708,-121.57545471191406,-2.1240077018737793,2.036207914352417,1.738465666770935,-2.1240077018737793,-1.7978538751602173,2.67738782118182,-0.6199946849678573,0.0,24.79978739871429
1786016702.5712698,-0.6343148946762085,2.8124184608459473,-121.09559631347656,-2.0757527351379395,1.8998311758041382,1.4509098529815674,-2.0757527351379395,-1.6538899660110473,2.390501599672405,-0.5461670392503342,0.0,21.846681570013367
1786016702.621275,-1.6208211183547974,3.0862057209014893,-121.17174530029297,-2.0732808113098145,1.7347427606582642,1.191778540611267,-2.0732808113098145,-1.610349953174591,2.104677774747901,-0.523838827539331,0.0,20.953553101573238
